Entity,Code,Year,population_missing_data,population_closed_aut,population_electoral_aut,population_electoral_dem,population_liberal_dem
World,OWID_WRL,1800,156929163,805811988,22000000,0,0
World,OWID_WRL,1801,155589718,809728760,22309844,0,0
World,OWID_WRL,1802,155873754,812600666,22624318,0,0
World,OWID_WRL,1803,156166627,815500140,22943493,0,0
World,OWID_WRL,1804,158145868,816749928,23267444,0,0
World,OWID_WRL,1805,158456410,819705387,23596247,0,0
World,OWID_WRL,1806,158775801,822689289,23929977,0,0
World,OWID_WRL,1807,158214577,826591453,24268712,0,0
World,OWID_WRL,1808,158553201,829631778,24612534,0,0
World,OWID_WRL,1809,150233796,841368549,24961521,0,0
World,OWID_WRL,1810,149850804,847043637,25735756,0,0
World,OWID_WRL,1811,149393555,851565151,26528763,0,0
World,OWID_WRL,1812,149804579,856335315,27491242,0,0
World,OWID_WRL,1813,149362802,862446848,28634039,0,0
World,OWID_WRL,1814,147664012,869929847,29833433,0,0
World,OWID_WRL,1815,130394462,893099160,31092484,0,0
World,OWID_WRL,1816,130803989,898706099,32414425,0,0
World,OWID_WRL,1817,129569783,906074618,33802669,0,0
World,OWID_WRL,1818,129990931,911906799,35260822,0,0
World,OWID_WRL,1819,131281150,916895626,36581099,0,0
World,OWID_WRL,1820,133346417,921848247,37752758,0,0
World,OWID_WRL,1821,126498276,932812466,40020835,0,0
World,OWID_WRL,1822,127099102,938259740,40894941,0,0
World,OWID_WRL,1823,127523463,930614854,55376475,0,0
World,OWID_WRL,1824,133278460,943951677,43646032,0,0
World,OWID_WRL,1825,133118722,950844647,44379591,0,0
World,OWID_WRL,1826,129215757,961617048,45128383,0,0
World,OWID_WRL,1827,130207208,967584855,45892783,0,0
World,OWID_WRL,1828,131215359,973626891,46673172,0,0
World,OWID_WRL,1829,132238771,979204567,47455046,0,0
World,OWID_WRL,1830,132585357,986498584,47535918,0,0
World,OWID_WRL,1831,125877567,992003018,54386141,0,0
World,OWID_WRL,1832,126859085,992284346,59072867,0,0
World,OWID_WRL,1833,127853884,997515856,58305255,0,0
World,OWID_WRL,1834,126778602,1003205077,59211186,0,0
World,OWID_WRL,1835,127812434,1005598716,61365871,0,0
World,OWID_WRL,1836,128864178,994576576,76981832,0,0
World,OWID_WRL,1837,129934200,996274385,79924136,0,0
World,OWID_WRL,1838,130379656,1001727147,79801814,0,0
World,OWID_WRL,1839,116946757,1019551986,81114056,0,0
World,OWID_WRL,1840,118891683,1043216653,62010356,0,0
World,OWID_WRL,1841,117351404,1050031288,61438797,0,0
World,OWID_WRL,1842,118404072,1046396677,69533004,0,0
World,OWID_WRL,1843,119478288,1050172773,70135176,0,0
World,OWID_WRL,1844,120438427,1053990041,70891449,0,0
World,OWID_WRL,1845,121547197,1057684826,71704405,0,0
World,OWID_WRL,1846,122674854,1068988490,64974119,0,0
World,OWID_WRL,1847,124173857,1065517317,72733546,0,0
World,OWID_WRL,1848,124988324,1027572315,115739366,0,0
World,OWID_WRL,1849,126916283,1031134530,112982153,0,2361968
World,OWID_WRL,1850,128933680,1033406003,113981619,0,2376868
World,OWID_WRL,1851,128944286,1069563759,80145209,0,2390857
World,OWID_WRL,1852,128988661,1071021050,81191228,0,2404184
World,OWID_WRL,1853,129716080,1071119009,82153427,0,2416841
World,OWID_WRL,1854,130553144,1070877588,83457566,0,2429565
World,OWID_WRL,1855,131402818,1070859552,84639361,0,2442355
World,OWID_WRL,1856,132265342,1069233685,87531315,0,2455213
World,OWID_WRL,1857,133141000,1069268881,88865876,0,2468139
World,OWID_WRL,1858,134030071,1079360952,79110316,0,3619471
World,OWID_WRL,1859,134960505,1079354686,80848059,0,3711534
World,OWID_WRL,1860,137089068,1078943769,83326384,0,3796042
World,OWID_WRL,1861,136948248,1084325309,80345262,0,3871952
World,OWID_WRL,1862,138006702,1084409918,82992279,0,3938125
World,OWID_WRL,1863,137366878,1086237579,85958515,0,3993315
World,OWID_WRL,1864,138484905,1088809360,86506509,0,4049793
World,OWID_WRL,1865,139620401,1057292539,121202796,0,4107592
World,OWID_WRL,1866,140773780,1064792985,116940556,0,4166751
World,OWID_WRL,1867,141945449,1065518412,119519433,0,4227308
World,OWID_WRL,1868,158753001,1033083661,139705938,0,4289302
World,OWID_WRL,1869,160113888,1030280398,146295205,0,4350511
World,OWID_WRL,1870,162750176,992346235,188647022,0,4410839
World,OWID_WRL,1871,162744039,998484486,187487232,0,4470190
World,OWID_WRL,1872,164008038,998241119,193413534,0,4528458
World,OWID_WRL,1873,165236122,1006236448,191720349,0,4585535
World,OWID_WRL,1874,166477258,1024677052,141230756,38412539,4643570
World,OWID_WRL,1875,167731604,1026800678,145511215,38461370,4702578
World,OWID_WRL,1876,168117251,1031384855,148282556,38510260,4762580
World,OWID_WRL,1877,169390894,1039308805,146879893,38559209,4823595
World,OWID_WRL,1878,170678599,1040543997,152222550,38608217,4885643
World,OWID_WRL,1879,173308023,1047098429,151432751,38664188,4953116
World,OWID_WRL,1880,176076056,1047744634,158424465,38727144,5026354
World,OWID_WRL,1881,175964074,1053282631,161104421,38797107,5105711
World,OWID_WRL,1882,177303579,1055008159,168181928,38874098,5191558
World,OWID_WRL,1883,178650635,1065139567,167431938,38958140,5284280
World,OWID_WRL,1884,180011723,1069285799,172787696,39042361,5379915
World,OWID_WRL,1885,187872582,1077463043,167803417,39126760,5478561
World,OWID_WRL,1886,191816098,1075931872,176556259,39211339,5580325
World,OWID_WRL,1887,193273086,1088903897,172834774,39912699,5685314
World,OWID_WRL,1888,194745561,1096239532,175468127,40012950,5793641
World,OWID_WRL,1889,196137139,1103436689,178104698,40105103,5899570
World,OWID_WRL,1890,199015278,1111772974,179481878,40189112,6002745
World,OWID_WRL,1891,198676995,1118203059,182605015,40264930,6102789
World,OWID_WRL,1892,196393022,1123612823,190024789,40332510,6199307
World,OWID_WRL,1893,198636659,1132852837,188853051,40391803,6291885
World,OWID_WRL,1894,199713539,1121825704,209256887,40451408,6385931
World,OWID_WRL,1895,203430152,1127490403,210484292,40511329,6481467
World,OWID_WRL,1896,204572677,1150604278,196928636,40571572,6578520
World,OWID_WRL,1897,205731224,1154994240,195710615,40632141,13197018
World,OWID_WRL,1898,206906058,1141849963,225179339,40693044,6777274
World,OWID_WRL,1899,208220150,1152027766,225338299,40756003,6877634
World,OWID_WRL,1900,119503346,1251023334,222361408,40821076,13695858
World,OWID_WRL,1901,118299341,1257521900,228208911,40888319,13867172
World,OWID_WRL,1902,116776984,1267954571,230208212,40957793,16666822
World,OWID_WRL,1903,117262599,1277587435,234258744,41029557,16874470
World,OWID_WRL,1904,116895520,1288378476,238105137,41183513,17084758
World,OWID_WRL,1905,118937967,1296100489,242879329,41257547,17297719
World,OWID_WRL,1906,119832130,1309802837,240692830,41332261,19834726
World,OWID_WRL,1907,121374698,1320118817,243766978,41407670,20068691
World,OWID_WRL,1908,122969626,1331738853,245702401,41483789,20305538
World,OWID_WRL,1909,124306204,1339403985,251326994,41501543,20529022
World,OWID_WRL,1910,127026305,1342939382,261157693,41461145,20739067
World,OWID_WRL,1911,128544501,1341907701,272170075,41362810,20935597
World,OWID_WRL,1912,125380659,1352165174,278119831,41206744,21118544
World,OWID_WRL,1913,125671803,1359757776,282750619,39896979,22384010
World,OWID_WRL,1914,102637639,1398595162,287167358,39666141,15065289
World,OWID_WRL,1915,98302203,1407637648,295318753,39436661,15253762
World,OWID_WRL,1916,94673461,1427773297,291751005,44077660,10576081
World,OWID_WRL,1917,94763464,1327200988,405267293,43949430,10672001
World,OWID_WRL,1918,75255245,1437382805,309735233,50218595,22445164
World,OWID_WRL,1919,70479160,1379152953,276980413,112684341,69747442
World,OWID_WRL,1920,69196665,1359201736,275103375,152499316,70216333
World,OWID_WRL,1921,67385516,1362191936,149704687,282174373,78131314
World,OWID_WRL,1922,63764879,1363802294,154924791,289117400,84362267
World,OWID_WRL,1923,64184242,1391758741,136822505,295657693,84633993
World,OWID_WRL,1924,64610307,1439651996,102291898,298951518,84910666
World,OWID_WRL,1925,65043181,1452368103,103136236,298784659,88719909
World,OWID_WRL,1926,65482944,1483923399,111207880,276462354,88868804
World,OWID_WRL,1927,65929696,1510575488,101330746,277232881,89028259
World,OWID_WRL,1928,66383544,1525022069,101540888,280399339,89198132
World,OWID_WRL,1929,66882189,1540969341,101095257,283296764,89439917
World,OWID_WRL,1930,69936366,1602231838,67963277,274292186,89643711
World,OWID_WRL,1931,68015288,1585328770,102422639,276385942,90023947
World,OWID_WRL,1932,81268750,1576150428,93519367,302107057,90471923
World,OWID_WRL,1933,82126036,1591662616,173093566,227671898,90986312
World,OWID_WRL,1934,81893498,1689168327,99334637,225936135,91504196
World,OWID_WRL,1935,73046863,1702679315,115443665,227217531,92025598
World,OWID_WRL,1936,73774967,1716805749,121733914,228502220,92550551
World,OWID_WRL,1937,74512354,1735765078,148565644,204749714,93079076
World,OWID_WRL,1938,75259132,1748882162,156803813,205786588,93611212
World,OWID_WRL,1939,115134051,1790049783,108835231,191241153,97836220
World,OWID_WRL,1940,116694124,1866300315,113891423,156010413,74461464
World,OWID_WRL,1941,111108937,1884852778,116129338,157801080,74896401
World,OWID_WRL,1942,112760634,1900470518,115483903,159822223,75349833
